Product Url,Image,Image1,Image2,Image3,Vendor,Sku Styleisnow,Season,Year,SKU,Variant,Color detail,Color Supplier,Made in,Material,Product's Title,Description,Tags,Qty,Retail Price,Discount,Size,Qty Detail,Bag length,Bag height,Bag width,Handle height,Shoulder bag length,Belt length,Belt height,Barcode,Compare to Price,Dimensions,SKU FULL
https://www.styleisnow.com/business/crossbody-and-shoulder-bags-marc-jacobs-241445abs000033-991.html,,http://cdn.orderlink.it/foto/2414452R3HSH056H01/2R3HSH056H01dip-13.jpg,http://cdn.orderlink.it/foto/2414452R3HSH056H01/2R3HSH056H01qyv-14.jpg,http://cdn.orderlink.it/foto/2414452R3HSH056H01/2R3HSH056H01jat-15.jpg,MARC JACOBS,241445ABS000033-991,Spring - Summer,2024,2R3HSH056H01,991,Nero,CRYSTALS,China,60%AM 40%CY,The Rhinestone Small Curve Bag,"Marc Jacobs rhinestone-covered shoulder bag featuring leather trim and the iconic metal J Marc at front. It features top zip closure, leather-lined interior with two credit card slots, chain shoulder strap. Silver-finished metalware.",Woman > Bags > Crossbody and Shoulder bags,3.0,835.0,50.00%,os,3,23 cm,17 cm,5 cm,26 cm,0,,,196611117333,580.0,"H 17.0 cm x L 23.0 x D 5.0 cm / H 6.7"" x L 9.1"" x D 2.0""",241445ABS000033-991-os
https://www.styleisnow.com/business/crossbody-bags-alexander-mcqueen-241527fbs000001-1000.html,,http://cdn.orderlink.it/foto/2415277262921AAQ0/7262921AAQ0vwn-13.jpg,http://cdn.orderlink.it/foto/2415277262921AAQ0/7262921AAQ0hib-14.jpg,http://cdn.orderlink.it/foto/2415277262921AAQ0/7262921AAQ0axw-15.jpg,ALEXANDER MCQUEEN,241527FBS000001-1000,Spring - Summer,2024,726292 1AAQ0,1000,Nero,BLACK,Italy,"100% NY, 100% leather",The Harness Camera Bag,"Nylon crossbody bag by Alexander McQueen with Graffiti print all-over and leather ""Harness"" details. Two-way zippered closure, fabric interior with one leather pocket, adjustable and detachable shoulder strap, and one rear slit pocket. Silver-finished metalware.",Man > Bags > Crossbody bags,4.0,1140.0,50.00%,os,4,"22,5 cm","15,5 cm","8,5 cm",0,125 cm,,,0,790.0,"H 15.5 cm x L 22.5 x D 8.5 cm / H 6.1"" x L 8.9"" x D 3.3""",241527FBS000001-1000-os
https://www.styleisnow.com/business/tote-bags-alexander-mcqueen-241527fbs000002-1000.html,,http://cdn.orderlink.it/foto/2415277747671AAQ0/7747671AAQ0vkx-13.jpg,http://cdn.orderlink.it/foto/2415277747671AAQ0/7747671AAQ0bwk-14.jpg,http://cdn.orderlink.it/foto/2415277747671AAQ0/7747671AAQ0jdv-15.jpg,ALEXANDER MCQUEEN,241527FBS000002-1000,Spring - Summer,2024,774767 1AAQ0,1000,Nero,BLACK,Italy,100% PL,The Harness Tote Bag,"Alexander McQueen nylon tote bag with all-over McQueen Graffiti tone-on-tone print and embellished with Harness detail. Magnetic closure, lined interior with one zipper pocket and one credit card slot, adjustable and detachable shoulder strap, and silver-finish metalware.",Man > Bags > Tote bags,4.0,1915.0,50.00%,os,4,37 cm,39 cm,11 cm,"10,5 cm",0,,,0,1320.0,"H 39.0 cm x L 37.0 x D 11.0 cm / H 15.4"" x L 14.6"" x D 4.3""",241527FBS000002-1000-os
https://www.styleisnow.com/business/pouch-and-business-bags-alexander-mcqueen-241527fav000002-1000.html,,http://cdn.orderlink.it/foto/2415277478561AAQ0/7478561AAQ0wfa-13.jpg,http://cdn.orderlink.it/foto/2415277478561AAQ0/7478561AAQ0lov-14.jpg,http://cdn.orderlink.it/foto/2415277478561AAQ0/7478561AAQ0eec-15.jpg,ALEXANDER MCQUEEN,241527FAV000002-1000,Spring - Summer,2024,747856 1AAQ0,1000,Nero,BLACK,Italy,100% NY,The Harness Vanity Case,"Alexander McQueen nylon vanity case with all-over Graffiti print and characterized by tonal leather harness and silver-tone lettering logo print. Zip closure, contrasting nylon lined-interior with one credit card slot, rear flat pocket. Side handles, silver-finished metalware.",Man > Bags > Pouch and Business bags,2.0,885.0,50.00%,os,2,25 cm,12 cm,11 cm,0,0,,,0,610.0,"H 12.0 cm x L 25.0 x D 11.0 cm / H 4.7"" x L 9.8"" x D 4.3""",241527FAV000002-1000-os
https://www.styleisnow.com/business/crossbody-bags-burberry-241481fbs000001-a1189.html,,http://cdn.orderlink.it/foto/2414818078402/8078402rjf-13.jpg,http://cdn.orderlink.it/foto/2414818078402/8078402jvp-14.jpg,http://cdn.orderlink.it/foto/2414818078402/8078402vqc-15.jpg,BURBERRY,241481FBS000001-A1189,Fall - Winter,2024,8078402,A1189,Nero,BLACK,Italy,100% calf leather,Shield Crossbody Bag,"Shield crossbody bag by Burberry made of smooth leather and featuring an asymmetrical shape. Zipper closure, Check fabric interior, additional front zipper pocket and adjustable webbing shoulder strap embellished with Equestrian Knight Design-inspired clasp. Silver-finished metalware.",Man > Bags > Crossbody bags,4.0,2120.0,40.00%,os,4,28 cm,14 cm,7 cm,0,89 cm,,,5045704735754,1460.0,"H 14.0 cm x L 28.0 x D 7.0 cm / H 5.5"" x L 11.0"" x D 2.8""",241481FBS000001-A1189-os
https://www.styleisnow.com/business/clutch-bags-maison-margiela-232098abs000010-t5166.html,,http://cdn.orderlink.it/foto/232098S56WF0158P4745/S56WF0158P4745vpy-13.jpg,http://cdn.orderlink.it/foto/232098S56WF0158P4745/S56WF0158P4745rbg-14.jpg,http://cdn.orderlink.it/foto/232098S56WF0158P4745/S56WF0158P4745tyb-15.jpg,MAISON MARGIELA,232098ABS000010-T5166,Spring - Summer,2024,S56WF0158 P4745,T5166,Viola,WISTERIA,Italy,100% bovine leather,'Snatched' Clutch,"Snatched bag by Maison Margiela in smooth and grained calf leather with origami-inspired asymmetric flap with mirrored numeric logo plate with the number 11 that unlocks the closure. Wearable as a clutch thanks to the front perforated band, on the shoulder with the adjustable and detachable shoulder strap. Suede lining with one open flat pocket. Silver-finished metalware.",Woman > Bags > Clutch bags,2.0,2375.0,46.00%,os,2,35 cm,15 cm,6 cm,0,67 cm,,,8053460115755,1640.0,"H 15.0 cm x L 35.0 x D 6.0 cm / H 5.9"" x L 13.8"" x D 2.4""",232098ABS000010-T5166-os
https://www.styleisnow.com/business/crossbody-and-shoulder-bags-alexander-mcqueen-232527abs000014-4290.html,,http://cdn.orderlink.it/foto/2325277576261YBE2/7576261YBE2mqo-13.jpg,http://cdn.orderlink.it/foto/2325277576261YBE2/7576261YBE2wrf-14.jpg,http://cdn.orderlink.it/foto/2325277576261YBE2/7576261YBE2eml-15.jpg,ALEXANDER MCQUEEN,232527ABS000014-4290,Spring - Summer,2024,757626 1YBE2,4290,Nero,DENIM BLACK,Italy,"100% co, 100% calfskin",Small Leather Skull Bag,"Alexander McQueen crossbody bag made of cotton denim and characterized by iconic Skull with crystals on the flap. It features magnetic button closure, leather interior with one card slot, wide adjustable leather biker-style shoulder strap. Finished with silver-tone printed lettering logo on the back. Silver-finished metalware.",Woman > Bags > Crossbody and Shoulder bags,1.0,1270.0,50.00%,os,1,19 cm,13 cm,4 cm,0,72 cm,,,0,880.0,"H 13.0 cm x L 19.0 x D 4.0 cm / H 5.1"" x L 7.5"" x D 1.6""",232527ABS000014-4290-os
https://www.styleisnow.com/business/borse-a-mano-salvatore-ferragamo-241400abs000001-001.html,,http://cdn.orderlink.it/foto/2324002144930763095/2144930763095drr-13.jpg,http://cdn.orderlink.it/foto/2324002144930763095/2144930763095zve-14.jpg,http://cdn.orderlink.it/foto/2324002144930763095/2144930763095liv-15.jpg,FERRAGAMO,241400ABS000001-001,Spring - Summer,2024,2144930763095,001,Nero,NERO,Italy,90% calf leather 10% NY,Studio Soft Bag (S),"Destructured version of the Studio bag by FERRAGAMO in grained calf leather with metal pin closure with the iconic Gancini motif. Two top leather handles, removable and adjustable fabric shoulder strap with jacquard lettring logo, front pocket with zip closure under the flap, suede interior equipped with a zipped flat pouch removable with press-studs and embellished with front gold-printed signature. Gold-finished metal studs and hardware.",Woman > Bags > Handbags,9.0,3080.0,44.00%,os,9,35 cm,27 cm,18 cm,12 cm,75 cm,,,8056283175470,2120.0,"H 27.0 cm x L 35.0 x D 18.0 cm / H 10.6"" x L 13.8"" x D 7.1""",241400ABS000001-001-os
https://www.styleisnow.com/business/tote-bags-salvatore-ferragamo-241400abs000008-003ms.html,,http://cdn.orderlink.it/foto/2414002183430770540/2183430770540rhn-13.jpg,http://cdn.orderlink.it/foto/2414002183430770540/2183430770540zgl-14.jpg,http://cdn.orderlink.it/foto/2414002183430770540/2183430770540vxi-15.jpg,FERRAGAMO,241400ABS000008-003MS,Spring - Summer,2024,2183430770540,003MS,Bianco,MASCARPONE,Italy,100% calf leather,Large Tote Bag,"FERRAGAMO tote bag made of grained leather with gold lettering logo printed on the flap. Suede interior with one zippered pocket, removable card holder and protective studs at base. Gold-finished metalware.",Woman > Bags > Tote bags,2.0,2375.0,44.00%,os,2,50 cm,29 cm,18 cm,22 cm,0,,,8056283511759,1640.0,"H 29.0 cm x L 50.0 x D 18.0 cm / H 11.4"" x L 19.7"" x D 7.1""",241400ABS000008-003MS-os
https://www.styleisnow.com/business/borse-a-tracolla-e-a-spalla-alexander-mcqueen-232527abs000016-1000.html,,http://cdn.orderlink.it/foto/2325277573751BLE1/7573751BLE1ycn-13.jpg,http://cdn.orderlink.it/foto/2325277573751BLE1/7573751BLE1emb-14.jpg,http://cdn.orderlink.it/foto/2325277573751BLE1/7573751BLE1coc-15.jpg,ALEXANDER MCQUEEN,232527ABS000016-1000,Spring - Summer,2024,757375 1BLE1,1000,Nero,BLACK,Italy,100% lamb leather,Seal Shoulder Bag,"Seal shoulder bag by Alexander McQueen made of nappa leather with oversize Seal logo and Seal metallic cut-out closure in a gold finish. Leather interior with an open pocket, chain handle and adjustable shoulder strap, both removable.",Woman > Bags > Crossbody and Shoulder bags,1.0,2950.0,50.00%,os,1,26 cm,15 cm,6 cm,23 cm,0,,,0,2040.0,"H 15.0 cm x L 26.0 x D 6.0 cm / H 5.9"" x L 10.2"" x D 2.4""",232527ABS000016-1000-os
