,Product Url,Image,Image1,Image2,Image3,Vendor,Sku Styleisnow,Season,Year,SKU,Variant,Color detail,Color Supplier,Made in,Material,Product's Title,Description,Tags,Qty,Retail Price,Discount,Size,Qty Detail,Handle height,Shoulder bag length,Belt length,Belt height,Accessory length,Accessory height,Accessory weight,Heel height,Plateau height,Barcode,Compare to Price,Qty_Detail,SKU FULL
28873,https://www.styleisnow.com/business/belts-salvatore-ferragamo-241400fcr000023-179.html,,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946wqe-13.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946dru-14.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946rps-15.jpg,Ferragamo,241400FCR000023-179,Spring - Summer,2024,6755420773946,179,Marrone,RADICA NERO,Italy,100% calf leather,reversible gancini,This reversible FERRAGAMo belt is made of hammered leather with a matte ruthenium Gancini buckle. The item in the photo corresponds to size 105.,Man > Accessories > Belts,1,580.0,42.00%,105,"0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0",,,0.0,"3,5 cm",0,0,0,0,,8056283706469,400.0,13,241400FCR000023-179-105
28875,https://www.styleisnow.com/business/belts-salvatore-ferragamo-241400fcr000023-179.html,,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946wqe-13.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946dru-14.jpg,http://cdn.orderlink.it/foto/2414006755420773946/6755420773946rps-15.jpg,Ferragamo,241400FCR000023-179,Spring - Summer,2024,6755420773946,179,Marrone,RADICA NERO,Italy,100% calf leather,reversible gancini,This reversible FERRAGAMo belt is made of hammered leather with a matte ruthenium Gancini buckle. The item in the photo corresponds to size 105.,Man > Accessories > Belts,12,580.0,42.00%,115,"0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0",,,0.0,"3,5 cm",0,0,0,0,,8056283706483,400.0,18,241400FCR000023-179-115
36055,https://www.styleisnow.com/business/polo-shirts-boss-241249upl000004-002.html,http://cdn.orderlink.it/foto/24124950515596/50515596ulb-20.jpg,http://cdn.orderlink.it/foto/24124950515596/50515596gtq-13.jpg,http://cdn.orderlink.it/foto/24124950515596/50515596ggk-14.jpg,http://cdn.orderlink.it/foto/24124950515596/50515596jjy-15.jpg,Boss,241249UPL000004-002,Spring - Summer,2024,50515596,002,Nero,BLACK,Turkey,100% CO,mercerized cotton polo shirt,"This short-sleeved Boss polo is made of mercerized cotton jersey and features a rubber logo application on the chest. Finished with a knitted collar and sleeve cuffs, it has a three-button closure and side slits. Regular fit. The model is 187 cm tall and wears size L.",Man > Clothing > T-Shirts and Sweatshirts > Polo shirts,17,165.0,52.00%,s,"0,0,2,0,0,0,0,0,0,0,0,0",,,,,,,,0,,4063542435279,120.0,2,241249UPL000004-002-s
36066,https://www.styleisnow.com/business/t-shirts-boss-241249uts000002-100.html,http://cdn.orderlink.it/foto/24124950495742/50495742aak-20.jpg,http://cdn.orderlink.it/foto/24124950495742/50495742nqh-13.jpg,http://cdn.orderlink.it/foto/24124950495742/50495742okd-14.jpg,http://cdn.orderlink.it/foto/24124950495742/50495742ywl-15.jpg,Boss,241249UTS000002-100,Spring - Summer,2024,50495742,100,Bianco,WHITE,Bangladesh,100% CO,tiburt 354 logo print t-shirt,Short-sleeved t-shirt in cotton jersey with macro Boss logo printed at the front. Finished with ribbed stretch crew neck. Regular fit. The model is 187 cm tall and wears a size L.,Man > Clothing > T-Shirts and Sweatshirts > T-shirts,2,105.0,51.99%,m,"1,1,2,1,0,0,0,0,0,0,0,0",,,,,,,,0,,4063537914208,70.0,1,241249UTS000002-100-m
43238,https://www.styleisnow.com/business/boots-versace-232417nsv000001-1b00v.html,,http://cdn.orderlink.it/foto/2324171010174DVT2P/1010174DVT2Przq-13.jpg,http://cdn.orderlink.it/foto/2324171010174DVT2P/1010174DVT2Pqfo-14.jpg,http://cdn.orderlink.it/foto/2324171010174DVT2P/1010174DVT2Pnqy-16.jpg,Versace,232417NSV000001-1B00V,Spring - Summer,2024,1010174 DVT2P,1B00V,Nero,BLACK VERSACE GOLD,Italy,100% calf leather,'aevitas' boots,"Leather ""Aevitas"" boots by Versace with side zippered closure and Medusa detail on the zip-puller. Maxi heel and platform, leather interior and sole.",Woman > Shoes > Boots and booties > Boots,1,1270.0,46.00%,37,"0,0,0,0,1,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"120.0 mm / 4.7""","3,5 cm",8056204382086,880.0,2,232417NSV000001-1B00V-37
55653,https://www.styleisnow.com/business/sneakers-alexander-mcqueen-242527nsn000006-1070.html,,http://cdn.orderlink.it/foto/242527697072W4MV2/697072W4MV2yct-13.jpg,http://cdn.orderlink.it/foto/242527697072W4MV2/697072W4MV2bak-14.jpg,http://cdn.orderlink.it/foto/242527697072W4MV2/697072W4MV2ikj-16.jpg,Alexander Mcqueen,242527NSN000006-1070,Fall - Winter,2024,697072 W4MV2,1070,Bianco,BLACK WHITE,Italy,100% CO,tread slick sneakers,"Alexander McQueen cotton canvas sneakers with tonal rubber toe and base. They feature the embossed logo on the side, silver-tone metal eyelets, back logo tab and silver-printed logo on the tongue. Leather lining, rubber sole. Extra laces included.",Woman > Shoes > Sneakers,1,705.0,35.00%,36,"0,0,0,0,3,0,9,0,11,0,11,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"45.0 mm / 1.8""",0,0,490.0,3,242527NSN000006-1070-36
56933,https://www.styleisnow.com/business/sneakers-veja-242773nsn000007-exwns.html,,http://cdn.orderlink.it/foto/202773CP052429CAMPO/CP052429CAMPOrqh-13.jpg,http://cdn.orderlink.it/foto/202773CP052429CAMPO/CP052429CAMPOhdp-14.jpg,http://cdn.orderlink.it/foto/202773CP052429CAMPO/CP052429CAMPOtpw-16.jpg,Veja,242773NSN000007-EXWNS,Fall - Winter,2024,CP0502429A,EXWNS,Bianco,EXTRA WHITE NATURAL SUEDE,Brazil,100% calf leather,campo sneakers,"Campo sneaker by Veja crafted in in Chromefree grain leatherwith the iconicside V monograms and the heel tab in contrasting suede. Gold-tone side logo print, contrasting logo print on the heel tab, debossed logo on the tongue, interior in eco-sustainable fabric with removable insole, natural rubber sole from the Amazon Forest.",Woman > Shoes > Sneakers,1,180.0,30.00%,36,"0,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"30.0 mm / 1.2""",0,0,120.0,3,242773NSN000007-EXWNS-36
56937,https://www.styleisnow.com/business/sneakers-veja-242773nsn000007-exwns.html,,http://cdn.orderlink.it/foto/202773CP052429CAMPO/CP052429CAMPOrqh-13.jpg,http://cdn.orderlink.it/foto/202773CP052429CAMPO/CP052429CAMPOhdp-14.jpg,http://cdn.orderlink.it/foto/202773CP052429CAMPO/CP052429CAMPOtpw-16.jpg,Veja,242773NSN000007-EXWNS,Fall - Winter,2024,CP0502429A,EXWNS,Bianco,EXTRA WHITE NATURAL SUEDE,Brazil,100% calf leather,campo sneakers,"Campo sneaker by Veja crafted in in Chromefree grain leatherwith the iconicside V monograms and the heel tab in contrasting suede. Gold-tone side logo print, contrasting logo print on the heel tab, debossed logo on the tongue, interior in eco-sustainable fabric with removable insole, natural rubber sole from the Amazon Forest.",Woman > Shoes > Sneakers,1,180.0,30.00%,38,"0,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"30.0 mm / 1.2""",0,0,120.0,0,242773NSN000007-EXWNS-38
57311,https://www.styleisnow.com/business/sneakers-alexander-mcqueen-242527nsn000001-9061.html,,http://cdn.orderlink.it/foto/191527553770WHGP7/553770WHGP7qpt-13.jpg,http://cdn.orderlink.it/foto/201527553770WHGP7/553770WHGP7mbj-14.jpg,http://cdn.orderlink.it/foto/191527553770WHGP7/553770WHGP7sus-15.jpg,Alexander Mcqueen,242527NSN000001-9061,Fall - Winter,2024,553770 WHGP7,9061,Bianco,WHITE BLACK,Italy,100% vitello,oversized sneakers,"Alexander McQueen leather sneakers with oversized rubber sole and leather lining with removable insole. Contrast suede heel detail, polished metal eyelets, gold-printed logo on the tongue and on the back, perforated sides. They feature extra laces.",Woman > Shoes > Sneakers,26,640.0,22.00%,36,"0,0,0,0,28,0,79,0,86,0,103,0,57,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"40.0 mm / 1.6""",0,0,440.0,28,242527NSN000001-9061-36
59068,https://www.styleisnow.com/business/scarves-alexander-mcqueen-242527asc000001-1078.html,,http://cdn.orderlink.it/foto/2425275577173052Q/5577173052Qxzl-13.jpg,http://cdn.orderlink.it/foto/2425275577173052Q/5577173052Qqul-14.jpg,http://cdn.orderlink.it/foto/2425275577173052Q/5577173052Qcrx-15.jpg,Alexander Mcqueen,242527ASC000001-1078,Fall - Winter,2024,557717 3052Q,1078,Bianco,BLACK,Italy,100% SE,silk skull scarf,Alexander McQueen silk chiffon scarf with all-over Skull print and printed logo. Hand-stitched hems.,Woman > Accessories > Scarves and gloves > Scarves,4,370.0,35.00%,os,6,,,0,0,120 cm,104 cm,0,0,,0,260.0,6,242527ASC000001-1078-os
63625,https://www.styleisnow.com/business/sneakers-veja-242773nsn000022-whtcm.html,,http://cdn.orderlink.it/foto/241773UC0703151A/UC0703151Abfx-13.jpg,http://cdn.orderlink.it/foto/241773UC0703151A/UC0703151Amru-14.jpg,http://cdn.orderlink.it/foto/241773UC0703151A/UC0703151Azda-16.jpg,Veja,242773NSN000022-WHTCM,Fall - Winter,2024,UC0703151A,WHTCM,Bianco,WHITE CAMEL,Portugal,100% C.W.L.,'urca' vegan sneakers,"Urca vegan sneakers by Veja made from organic cotton worked as leather (C.W.L.) and characterized by the vegan suede side V monogram and heel tab. Contrasting logo printed on the tongue and on the back, recycled fabric lining, removable insole, outsole made from recycled rubber and natural rubber from the Amazonian Forest.",Woman > Shoes > Sneakers,3,205.0,30.00%,38,"0,0,0,0,2,0,4,0,4,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"30.0 mm / 1.2""",0,0,140.0,4,242773NSN000022-WHTCM-38
64484,https://www.styleisnow.com/business/t-shirts-valentino-garavani-242032uts000003-598n.html,http://cdn.orderlink.it/foto/2420325V3MG08YA8B/5V3MG08YA8Baht-20.jpg,http://cdn.orderlink.it/foto/2420325V3MG08YA8B/5V3MG08YA8Bpal-13.jpg,http://cdn.orderlink.it/foto/2420325V3MG08YA8B/5V3MG08YA8Bznd-14.jpg,http://cdn.orderlink.it/foto/2420325V3MG08YA8B/5V3MG08YA8Bmxc-15.jpg,Valentino Garavani,242032UTS000003-598N,Fall - Winter,2024,5V3MG08YA8B,598N,Blu,NAVY,Italy,100% CO,t-shirt with logo print,Valentino crew neck t-shirt made of lightweight cotton jersey with tone-on-tone embossed logo print. Regular fit. The model is 187 cm tall and wears size L.,Man > Clothing > T-Shirts and Sweatshirts > T-shirts,1,630.0,32.00%,l,"2,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,0,,0,430.0,2,242032UTS000003-598N-l
64937,https://www.styleisnow.com/business/pumps-jimmy-choo-242516nde000012-a0035.html,,http://cdn.orderlink.it/foto/242516IXIA80PAT/IXIA80PATfus-13.jpg,http://cdn.orderlink.it/foto/242516IXIA80PAT/IXIA80PATrno-14.jpg,http://cdn.orderlink.it/foto/242516IXIA80PAT/IXIA80PATwhu-16.jpg,Jimmy Choo,242516NDE000012-A0035,Fall - Winter,2024,IXIA 80 PAT,A0035,Viola,GARNET,Italy,100% calf leather,ixia 95 dã©,"The Ixia 95 D&eacute collet&eacute  by Jimmy Choo are made of patent leather with a square cut, featuring a drop-shaped heel. The interior is lined in leather and the sole is made of leather as well.",Woman > Shoes > Pumps,1,995.0,25.00%,37,"0,0,0,0,1,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"95.0 mm / 3.7""",0,197255381081,690.0,2,242516NDE000012-A0035-37
82593,https://www.styleisnow.com/business/books-assouline-ogg961oli000079-vabb.html,,http://cdn.orderlink.it/foto/OGG9619781614289456/9781614289456piz-13.jpg,http://cdn.orderlink.it/foto/OGG9619781614289456/9781614289456sgg-14.jpg,,Assouline,OGG961OLI000079-VABB,Spring - Summer,20OG,9781614289456,VABB,Arancio,VARIANTE ABBINATA,Italy,0,st. tropez sun,"St. Tropez Soleil is a guide that takes the reader through its rich history and ever-evolving present. Among the main annual events are Les Bravades and Les Voiles de Saint-Tropez, as well as exclusive events such as Chanel's fashion show at Café Sénéquier, which embodies the essence of Tropez, and the White Party at Nikki Beach, inaugurated by Naomi Campbell. But despite all the changes, the spirit of Saint-Tropez remains the same and",Beauty and Lifestyle > Lifestyle > Books,4,135.0,0%,os,2,0.0,0.0,0.0,0,0,,0,0,0,0,90.0,2,OGG961OLI000079-VABB-os
83056,https://www.styleisnow.com/business/pullovers-polo-ralph-lauren-242696uma000006-024.html,http://cdn.orderlink.it/foto/242696710775885024/710775885024pby-20.jpg,http://cdn.orderlink.it/foto/242696710775885024/710775885024ifg-13.jpg,http://cdn.orderlink.it/foto/242696710775885024/710775885024dps-14.jpg,http://cdn.orderlink.it/foto/242696710775885024/710775885024ifv-15.jpg,Polo Ralph Lauren,242696UMA000006-024,Fall - Winter,2024,710775885024,024,Bianco,ANDOVER CREAM,China,100%CO,cotton cable knit pullover sweater,"This Polo Ralph Lauren cable knit sweater is made of pure cotton and features a classic fit. It is adorned with the iconic Pony logo embroidered on the chest, and finished with ribbed edges. The model is 187 cm tall and wears size L.",Man > Clothing > Knitwear > Pullovers,1,255.0,30.00%,s,"1,2,2,2,0,0,0,0,0,0,0,0",,,,,,,,0,,0,180.0,2,242696UMA000006-024-s
83524,https://www.styleisnow.com/business/t-shirts-boss-242249uts000001-404.html,http://cdn.orderlink.it/foto/24224950481923/50481923ujo-20.jpg,http://cdn.orderlink.it/foto/24224950481923/50481923ohz-13.jpg,http://cdn.orderlink.it/foto/24224950481923/50481923zkq-14.jpg,http://cdn.orderlink.it/foto/24224950481923/50481923ivd-15.jpg,Boss,242249UTS000001-404,Fall - Winter,2024,50481923,404,Blu,DARK BLUE,Turkey,100% CO,logo print t-shirt,Boss crew-neck t-shirt in lightweight cotton jersey with rubberized logo print on the chest. Regular fit. The model is 187 cm tall and wears a size L.,Man > Clothing > T-Shirts and Sweatshirts > T-shirts,5,65.0,35.01%,m,"3,4,3,3,0,0,0,0,0,0,0,0",,,,,,,,0,,0,40.0,4,242249UTS000001-404-m
