SKU FULL,Qty
241671ABS000016-482-os,1.0
241807FZA000002-1YKXX-os,7.0
241608ABS000002-1000-os,2.0
242976FBS000005-001-os,2.0
242445ABS000031-001-os,20.0
242445ABS000002-001-os,1.0
242633ABS000013-GAE-os,4.0
242032APG000001-GF9-os,2.0
242445ABS000028-001-os,29.0
242445ABS000023-001-os,6.0
